_id,value
"!",3889.0
"$",769.0
"*",48.0
"**",1.0
"***",1.0
"****",2.0
"**********************************",1.0
"***Bollywood",1.0
"***We",2.0
"**BOTTOMLESS",1.0
"**Chai",1.0
"**MINI",1.0
"**Pad",1.0
"**Special",1.0
"**The",1.0
"**UPDATE**",1.0
"**cookiesChocolatePeanutBacon",1.0
"*A",1.0
"*As",1.0
"*Big",1.0
"*Bloody",1.0
"*Bruschetta",1.0
"*Crab",1.0
"*DRINKS*",1.0
"*Decor",1.0
"*Dessert*",1.0
"*Drinks*",1.0
"*Edamame",1.0
"*Food",1.0
"*GASP*",1.0
"*Gelato",1.0
"*Main",1.0
"*Note",1.0
"*Octopus",1.0
"*Price",1.0
"*Sake",1.0
"*Service",2.0
"*Shrug*",1.0
"*Starters*",1.0
"*The",1.0
"*Theyre",1.0
"*Tuna",1.0
"*UPDATE",1.0
"*Vegetable",1.0
"*ahem*",1.0
"*all",1.0
"*all*",1.0
"*clean*",1.0
"*cough*SeamusandRula*clearsthroat*",1.0
"*during",1.0
"*edit*",1.0
"*floored*",2.0
"*fyi",1.0
"*giggle*",3.0
"*grain*",1.0
"*havent*",1.0
"*hold",1.0
"*off",1.0
"*right*",1.0
"*shivers*",1.0
"*sigh*",3.0
"*stepping",1.0
"*swore*",1.0
"*the",1.0
"*the*",1.0
"*traditional",1.0
"*tried*",1.0
"*years*",1.0
"*yum*",1.0
"@",16.0
"A",355.0
"AAA",1.0
"AB",1.0
"ABV",1.0
"AC",10.0
"ADD",1.0
"AE",2.0
"AFTER",1.0
"AGAIN",1.0
"AGREED",1.0
"AHHHHH",1.0
"AINT",1.0
"AJI",1.0
"AJs",8.0
"AKA",1.0
"ALL",12.0
"ALOHA",1.0
"ALSO",1.0
"ALWAYS",2.0
"AM",5.0
"AMAZED",1.0
"AMAZING",27.0
"AMBIANCE",1.0
"AMC",3.0
"AMCnine",1.0
"AMMMMAAAZZZINNNNG",1.0
"AMber",4.0
"AND",36.0
"ANY",4.0
"ANYTHING",1.0
"ANYTIME",1.0
"ANYWHERE",1.0
"ANd",1.0
"AOK",6.0
"AOk",1.0
"APS",1.0
"ARE",9.0
"ARIZONA",1.0
"ARRRRRIZZZZONNNNA",2.0
"AS",1.0
"ASADA",1.0
"ASAP",3.0
"ASK",3.0
"ASU",11.0
"AT",4.0
"ATM",3.0
"ATMOSPHERE",3.0
"AUTHENTIC",1.0
"AWESOME",6.0
"AX",1.0
"AYKM",1.0
"AZ",57.0
"Aaaaah",1.0
"AaaalooooHa",1.0
"Aah",1.0
"Aaron",5.0
"About",10.0
"Above",3.0
"Absolute",1.0
"Absolutely",7.0
"Acacia",1.0
"Academy",1.0
"Accents",2.0
"Accord",1.0
"According",3.0
"Ach",1.0
"Across",1.0
"Actual",2.0
"Actually",8.0
"Adam",5.0
"Adams",4.0
"Add",8.0
"Added",3.0
"Addicting",1.0
"Adding",3.0
"Addition",1.0
"Additional",1.0
"Additionally",1.0
"Adios",3.0
"Adler",1.0
"Admittedly",3.0
"Adobe",1.0
"Adorable",1.0
"Adorablelove",1.0
"Adorning",1.0
"Adrienne",2.0
"Aegean",1.0
"Affliction",2.0
"Affogato",2.0
"Affordable",2.0
"Africa",1.0
"African",3.0
"After",140.0
"Afternoon",1.0
"Again",33.0
"Against",1.0
"Agave",1.0
"Agaves",2.0
"Age",1.0
"Aged",1.0
"Agritopia",2.0
"Agritourism",2.0
"Agua",6.0
"Aguas",1.0
"Ah",7.0
"AhSo",1.0
"Aha",1.0
"Ahem",2.0
"Ahh",2.0
"Ahhh",1.0
"Ahhhhhh",1.0
"Ahi",12.0
"Ahwatukee",4.0
"Aids",1.0
"Aiellos",1.0
"Aioli",1.0
"Airplanes",1.0
"Airport",3.0
"Aisles",1.0
"Aji",3.0
"Ajo",1.0
"Akaushi",1.0
"Akor",1.0
"Al",2.0
"Alamos",1.0
"Alas",2.0
"AlasIve",1.0
"Alaska",1.0
"Alaskan",5.0
"Albacore",1.0
"Albarino",2.0
"Albertsons",2.0
"Albondigas",3.0
"Alcohol",1.0
"Ale",18.0
"Ales",4.0
"Alessandros",1.0
"Alex",3.0
"Alexander",1.0
"Alexanders",3.0
"Alexis",1.0
"Alfred",1.0
"Alfredo",6.0
"Alfreds",1.0
"Alice",22.0
"Alien",1.0
"Alissa",2.0
"All",166.0
"AllStar",1.0
"AllYouCanEat",1.0
"Alla",2.0
"Allen",1.0
"Alley",2.0
"Alligator",1.0
"Allinall",1.0
"Allow",1.0
"Almond",4.0
"Almost",8.0
"Aloha",9.0
"Along",7.0
"Already",1.0
"Alright",8.0
"Als",13.0
"Alsditch",1.0
"Also",112.0
"Although",35.0
"Altogether",2.0
"Always",14.0
"Am",2.0
"Amazing",29.0
"Amazingly",3.0
"Amber",9.0
"Ambiance",16.0
"Ambience",6.0
"Ambient",2.0
"America",9.0
"American",46.0
"Americana",1.0
"Americanized",12.0
"Americano",6.0
"Americans",6.0
"Americanstyle",2.0
"Americas",3.0
"Among",1.0
"Amore",1.0
"Amount",1.0
"Ample",2.0
"Amsterdam",1.0
"Amuse",2.0
"Amy",9.0
"Amys",1.0
"An",22.0
"Anaheim",2.0
"Anatomy",1.0
"Anchovies",2.0
"And",345.0
"Andre",13.0
"Andrea",3.0
"Andreoli",1.0
"Andres",5.0
"Andrew",1.0
"Andrews",2.0
"Andthey",1.0
"Andvanilla",1.0
"Angel",4.0
"Angela",2.0
"Angeles",2.0
"AngelesHacienda",1.0
"Angelesjust",1.0
"Angels",1.0
"Angus",5.0
"Animal",1.0
"Anita",1.0
"Anna",1.0
"Anne",1.0
"Annie",1.0
"Anniversary",8.0
"Another",38.0
"Answer",1.0
"Anthony",1.0
"Anticipation",1.0
"Antipasto",1.0
"Any",6.0
"Anybody",1.0
"Anyhoo",1.0
"Anyhow",2.0
"Anyone",1.0
"Anything",2.0
"Anytime",1.0
"Anyway",26.0
"Anywayas",1.0
"Anyways",18.0
"Anywhere",2.0
"Anywho",3.0
"Anywhooooo",1.0
"Ao",5.0
"Aok",1.0
"Aokay",1.0
"Apartment",1.0
"Aplus",2.0
"App",3.0
"Apparently",16.0
"Appetite",1.0
"Appetizers",6.0
"Apple",6.0
"Applebees",8.0
"Apples",2.0
"Approved",1.0
"Apricot",1.0
"April",6.0
"Arcadia",13.0
"Arcadian",1.0
"Are",7.0
"Area",6.0
"Arepas",1.0
"Arik",1.0
"Arizona",91.0
"Arizonait",1.0
"Arizonas",4.0
"Arizonians",1.0
"Arlin",1.0
"Armadillo",1.0
"Armagnac",1.0
"Army",2.0
"Arnie",1.0
"Arnold",4.0
"Around",1.0
"Arrghhh",1.0
"Arrived",2.0
"Arriving",3.0
"Arrogance",1.0
"Arrogant",4.0
"Arrondissement",1.0
"Art",1.0
"Arthur",1.0
"Artichoke",3.0
"Artisan",1.0
"Artois",1.0
"Arugala",1.0
"Arugula",1.0
"As",169.0
"Asada",3.0
"Asado",1.0
"Asahi",3.0
"Asanebo",1.0
"Ash",3.0
"Ashley",4.0
"Asi",1.0
"Asia",5.0
"Asian",49.0
"AsianCuban",1.0
"Asianinspired",2.0
"Aside",11.0
"Ask",2.0
"Asked",1.0
"Asparagus",2.0
"Ass",1.0
"Assistant",1.0
"Association",2.0
"At",72.0
"Ate",3.0
"Athenian",2.0
"Atkins",1.0
"Atlanta",1.0
"Atlas",1.0
"Atmosphere",29.0
"Atoyac",5.0
"Attached",1.0
"Attack",2.0
"Attentive",2.0
"Attic",1.0
"Au",6.0
"AugustSeptember",1.0
"Aunt",2.0
"Austin",2.0
"Australia",2.0
"Authentic",5.0
"Authenticity",1.0
"Auto",1.0
"Av",4.0
"Availability",2.0
"Avalanche",2.0
"Ave",21.0
"Avenidas",1.0
"Avenue",14.0
"Average",4.0
"AverageFair",1.0
"Avina",3.0
"Avocado",4.0
"Avoid",1.0
"Aw",1.0
"Awaze",1.0
"Awesome",24.0
"Awful",1.0
"Awwwshit",1.0
"Awwwwwwed",1.0
"Az",4.0
"Aztec",1.0
"Azz",1.0
"B",24.0
"BACK",1.0
"BAD",7.0
"BAM",1.0
"BAR",1.0
"BATTERED",2.0
"BBB",1.0
"BBQ",65.0
"BBQs",1.0
"BBs",1.0
"BCS",1.0
"BE",2.0
"BEEF",1.0
"BEER",4.0
"BEERS",1.0
"BEFORE",2.0
"BEIGNETS",1.0
"BEPs",1.0
"BEST",20.0
"BEST*",1.0
"BETTER",1.0
"BETWEEN",1.0
"BF",10.0
"BFF",3.0
"BFast",1.0
"BFgot",1.0
"BG",1.0
"BIG",8.0
"BIGGEST",1.0
"BIRFDAY",1.0
"BITCHEN",1.0
"BJs",3.0
"BLAND",1.0
"BLD",4.0
"BLT",14.0
"BOBA",2.0
"BOGO",2.0
"BOMBcom",1.0
"BONNIE",1.0
"BOO",1.0
"BOOZE",1.0
"BOTTOM",1.0
"BOYS",1.0
"BREAKFAST",3.0
