_id,value
"!",947.0
"$",391.0
"*",10.0
"****",1.0
"****You",1.0
"*Crab",1.0
"*Drinks*",1.0
"*Edamame",1.0
"*Note",1.0
"*Octopus",1.0
"*Sake",1.0
"*Smart",1.0
"*ahem*",1.0
"*all*",1.0
"*edit*",1.0
"@",4.0
"A",77.0
"ABV",1.0
"ACTUALLY",1.0
"AD",1.0
"AFTER",1.0
"AG",1.0
"AGAIN",1.0
"AJs",2.0
"AKA",1.0
"ALL",4.0
"ALLOWED",1.0
"ALUMINUM",1.0
"ALWAYS",2.0
"AM",3.0
"AMAZING",5.0
"AND",8.0
"ANY",4.0
"ANYTIME",1.0
"ANYWHERE",1.0
"AOK",1.0
"APPS",1.0
"ARE",2.0
"ASU",1.0
"AWESOME",4.0
"AYCE",1.0
"AZ",14.0
"Aaron",1.0
"About",4.0
"Absolutely",1.0
"Acoustics",1.0
"Action",1.0
"Actual",1.0
"Actually",1.0
"Adam",4.0
"Adams",2.0
"Add",3.0
"Added",1.0
"Admittedly",1.0
"Adobe",1.0
"Adriana",1.0
"African",5.0
"After",25.0
"Afterwards",1.0
"Again",4.0
"Against",1.0
"Agave",1.0
"Agaves",1.0
"Aged",1.0
"Agua",1.0
"Ahi",8.0
"Ahwatukee",2.0
"Ajs",1.0
"Al",2.0
"Alas",2.0
"Alaskan",1.0
"Alcatraz",2.0
"Alcohol",1.0
"Ale",2.0
"Alfredo",2.0
"Alice",8.0
"All",30.0
"Allen",1.0
"Alligator",1.0
"Allinall",1.0
"Almost",2.0
"Along",1.0
"Alright",3.0
"Also",44.0
"Alsoone",1.0
"Although",6.0
"Always",2.0
"Amazing",3.0
"Amazingly",1.0
"Amber",1.0
"Ambiance",2.0
"American",9.0
"Amore",1.0
"Amys",2.0
"An",3.0
"And",70.0
"Anibal",1.0
"Another",7.0
"Anthony",1.0
"Any",1.0
"Anyone",1.0
"Anyway",10.0
"Anyways",3.0
"Anywho",1.0
"App",1.0
"Apparently",3.0
"Apple",2.0
"Applebees",1.0
"Apples",2.0
"Appreciated",1.0
"Apps",2.0
"Are",3.0
"Area",1.0
"Arizona",20.0
"Arizonas",2.0
"Arizonians",1.0
"Armadillo",2.0
"Armenian",1.0
"Arnold",3.0
"Aroma",1.0
"Around",1.0
"Arrived",1.0
"Arrogant",1.0
"Artichoke",2.0
"Arugula",1.0
"As",30.0
"Asada",1.0
"Asia",1.0
"Asian",13.0
"Aside",1.0
"At",15.0
"Ate",1.0
"Atlas",1.0
"Atmosphere",3.0
"August",1.0
"Automotive",1.0
"Ave",2.0
"Awesome",9.0
"B",3.0
"BAR",1.0
"BB",1.0
"BBQ",12.0
"BEST",6.0
"BETWEEN",1.0
"BEWARE",1.0
"BF",1.0
"BFF",4.0
"BG",3.0
"BIG",3.0
"BIRFDAY",1.0
"BJs",1.0
"BLD",2.0
"BLT",1.0
"BOGOall",2.0
"BOGOs",2.0
"BOMB",2.0
"BOTTLED",1.0
"BREAD",1.0
"BTW",2.0
"BUFFETS",1.0
"BUGS",2.0
"BUT",1.0
"BYOB",1.0
"Baby",2.0
"Bacardi",1.0
"Back",3.0
"Bacon",1.0
"Bakery",1.0
"Ball",2.0
"Balsamic",1.0
"Bank",1.0
"Bar",6.0
"Barcadi",1.0
"Bare",1.0
"BarneysIve",1.0
"Baseball",1.0
"Based",1.0
"Baseline",2.0
"Bashas",1.0
"Basil",2.0
"Bass",1.0
"Bat",1.0
"Bay",2.0
"Be",9.0
"Beach",1.0
"Bean",1.0
"Beans",2.0
"Bear",1.0
"Bearnaise",1.0
"Beautiful",1.0
"Because",2.0
"Beef",7.0
"Been",2.0
"Beer",5.0
"Beers",1.0
"Beerwise",2.0
"Before",2.0
"Beignets",1.0
"Belfast",1.0
"Belgium",2.0
"Believe",2.0
"Beligian",1.0
"Bellies",1.0
"Benihana",2.0
"Benzoate",1.0
"Berkshire",1.0
"Bernie",3.0
"Berry",2.0
"Besides",4.0
"Best",6.0
"BestBuy",2.0
"Beth",1.0
"Better",2.0
"BevMo",5.0
"BevMos",1.0
"Beware",2.0
"Beyond",1.0
"Bianco",3.0
"Bicycles",1.0
"Big",9.0
"BigAss",1.0
"Bills",1.0
"Biltmore",5.0
"Bink",3.0
"Binkley",1.0
"Binks",1.0
"Bison",2.0
"Bistroa",1.0
"Blackened",1.0
"Blanche",1.0
"Blonde",1.0
"Bloody",1.0
"Blue",11.0
"Blues",1.0
"Blvd",2.0
"Boars",1.0
"Bobs",1.0
"Bocca",3.0
"Bocce",1.0
"Boddingtons",2.0
"Bogi",3.0
"Boiled",1.0
"Bolognaise",1.0
"Bomb",2.0
"Bomber",1.0
"Bomberos",2.0
"Bombers",3.0
"Bombs",2.0
"Bombshell",1.0
"Bones",1.0
"Bonita",4.0
"Bonus",2.0
"Book",1.0
"Boston",3.0
"Both",10.0
"Bottles",1.0
"Bottom",2.0
"Bourbon",2.0
"Boy",2.0
"Boyfriend",1.0
"Brady",1.0
"Braised",1.0
"Brat",1.0
"Bread",2.0
"Breaded",2.0
"Break",1.0
"Breakfast",2.0
"Breathalyzer",2.0
"Breeze",1.0
"Brew",1.0
"Brewery",1.0
"Briana",2.0
"Brie",4.0
"Bring",1.0
"Brios",3.0
"Britney",1.0
"Brokers",1.0
"Brothers",1.0
"Brown",3.0
"Brownie",1.0
"Bruchetta",1.0
"Bruxelles",1.0
"Bucket",1.0
"Bud",1.0
"Buddha",1.0
"Buffalo",3.0
"Buffet",1.0
"Buffets",1.0
"Building",1.0
"Bulas",2.0
"Bull",1.0
"Bummer",1.0
"Bun",1.0
"Bunch",1.0
"Bungalow",5.0
"Burger",10.0
"But",55.0
"Butcher",1.0
"Buy",1.0
"By",5.0
"C",1.0
"CAN",1.0
"CAVEAT",2.0
"CH",1.0
"CHALLENGE",1.0
"CHEAP",5.0
"CHICKEN",1.0
"CHILDERN",1.0
"CHURN",1.0
"CLEANEST",1.0
"CLEARLY",1.0
"CO",1.0
"COLOR",1.0
"CONSISTENTLY",2.0
"CONTACT",1.0
"CPH",4.0
"CRAMMED",1.0
"CRAZY",1.0
"CUSTOMER",1.0
"Caesar",2.0
"Caf",3.0
"Cafe",6.0
"Cajun",1.0
"Cake",2.0
"Calabacitas",1.0
"Calamari",4.0
"California",1.0
"Californians",1.0
"Came",2.0
"Camelback",3.0
"Cameron",1.0
"Can",1.0
"Cant",8.0
"Cantina",1.0
"Car",3.0
"Card",1.0
"Caribbean",4.0
"Carin",1.0
"Carlburg",2.0
"Carlsbad",2.0
"Carlsbat",1.0
"Carly",1.0
"Carlys",1.0
"Carne",1.0
"Carrey",1.0
"Carrot",1.0
"Carumbas",1.0
"Case",1.0
"Casey",1.0
"Cassie",2.0
"Castle",1.0
"Cavern",1.0
"Cedar",1.0
"CenPho",1.0
"Center",3.0
"Central",4.0
"Centro",1.0
"Certainly",1.0
"Chain",1.0
"Chambord",2.0
"Champagne",1.0
"Chances",1.0
"Chandler",2.0
"Check",12.0
"Checked",1.0
"Cheersish",1.0
"Cheese",9.0
"Cheesecake",2.0
"Cheeseheaven",1.0
"Cheez",2.0
"Chef",4.0
"Chefs",1.0
"Chemay",1.0
"Chemyst",1.0
"Cher",1.0
"Chet",1.0
"Chicago",3.0
"Chicken",12.0
"Chile",3.0
"Chili",3.0
"Chimmichanga",1.0
"China",2.0
"Chinese",6.0
"Chipotle",1.0
"Chipotleesque",1.0
"Chips",4.0
"Chivy",1.0
"Chocolate",6.0
"Choice",3.0
"Chompies",4.0
"Chop",1.0
"Chopped",1.0
"Chorizo",2.0
"Chris",3.0
"Christina",1.0
"Christine",2.0
"Christmas",1.0
"Chunky",1.0
"Chymist",1.0
"Cider",1.0
"Cien",1.0
"Cinemas",1.0
"Cinnamon",1.0
"City",4.0
"Claim",1.0
"Clare",2.0
"Classywarm",1.0
"Clearly",1.0
"Club",5.0
"Cobler",2.0
"Cocktail",2.0
"Coco",1.0
