_id,value
"",3.0
"!",8593.0
"$",1718.0
"*",97.0
"**",4.0
"***",5.0
"****",2.0
"*****",1.0
"******",1.0
"***********",3.0
"************",1.0
"*************",1.0
"**********************************",1.0
"******************************************************",4.0
"*********My",1.0
"********The",1.0
"****You",1.0
"***Bollywood",1.0
"***The",1.0
"***We",2.0
"**At",1.0
"**B",1.0
"**C",1.0
"**Even",1.0
"**I",1.0
"**If",1.0
"**MINI",1.0
"**On",1.0
"**Pad",1.0
"**Special",1.0
"**The",1.0
"**They",1.0
"**UPDATE**",1.0
"**Update",1.0
"**You",2.0
"**check",2.0
"*A",4.0
"*As",1.0
"*Bagged",1.0
"*Big",1.0
"*Blank",1.0
"*Bloody",1.0
"*Bruschetta",1.0
"*Con",1.0
"*Could",1.0
"*Crab",1.0
"*DRINKS*",1.0
"*Dangerous*",1.0
"*Decent",2.0
"*Dessert*",1.0
"*Doesnt",1.0
"*Dr",1.0
"*Drinks*",1.0
"*Dry",1.0
"*Estofado",1.0
"*Frijol",1.0
"*GASP*",1.0
"*Garlic",1.0
"*Gnocchi",1.0
"*Good",2.0
"*Hooka*",1.0
"*House",1.0
"*I",13.0
"*Indian*",1.0
"*Japanese",1.0
"*LATE*",1.0
"*Lo",1.0
"*Main",1.0
"*Massive",1.0
"*Mu",1.0
"*No",2.0
"*Note",1.0
"*Points",1.0
"*Pollo",1.0
"*Proceeds",1.0
"*Puerco",1.0
"*Real*",1.0
"*Schreiners",1.0
"*Shiner",2.0
"*Shrug*",1.0
"*Smart",1.0
"*Starters*",1.0
"*Steak",1.0
"*Sweet",2.0
"*TIP*",1.0
"*Thai",1.0
"*The",1.0
"*They",2.0
"*Theyre",1.0
"*Tom",1.0
"*Torn",1.0
"*Tuna",1.0
"*Update*",1.0
"*Vegetable",1.0
"*Walks",1.0
"*Whole",1.0
"*You",10.0
"*Yuca",1.0
"*ahem*",5.0
"*all*",1.0
"*almost*",3.0
"*back",2.0
"*bread",1.0
"*cheese",1.0
"*cough*",2.0
"*cough*SeamusandRula*clearsthroat*",1.0
"*coughteriyakichickenwtfcough*",2.0
"*crispy",1.0
"*deep",1.0
"*drool*",1.0
"*edit*",2.0
"*eh*but",1.0
"*five",2.0
"*fyi",1.0
"*gasp*",1.0
