_id,value
"!",2523.0
"$",927.0
"*",23.0
"***",1.0
"**********************************",1.0
"***We",2.0
"**Pad",1.0
"*A",1.0
"*As",1.0
"*Bagged",1.0
"*Con",1.0
"*Dr",1.0
"*Drinks*",1.0
"*ETA",1.0
"*Edamame",1.0
"*Estofado",1.0
"*Frijol",1.0
"*Gelato",1.0
"*I",1.0
"*I*",1.0
"*Massive",1.0
"*Note",1.0
"*Octopus",1.0
"*Pollo",1.0
"*Price",1.0
"*Puerco",1.0
"*Sake",1.0
"*Service",1.0
"*Smart",1.0
"*TIP*",1.0
"*Update",1.0
"*Update*",2.0
"*Whole",1.0
"*Yuca",1.0
"*ahem*",1.0
"*almost*",1.0
"*cough*",2.0
"*coughgalcoscough*",1.0
"*edit*",2.0
"*five",2.0
"*floored*",2.0
"*giggle*",1.0
"*heart*",2.0
"*heartx*",2.0
"*highly*",1.0
"*interesting*",1.0
"*might*",1.0
"*pizza",2.0
"*right*",1.0
"*sigh*",1.0
"*squeal*",1.0
"*traditional",1.0
"*two",2.0
"@",8.0
"A",204.0
"AAAAMAZING",1.0
"AC",2.0
"AE",2.0
"AFTER",4.0
"AGAIN",1.0
"AHH",1.0
"AHHHHH",1.0
"AJs",9.0
"AL",1.0
"ALERTALERTE",1.0
"ALIMENTACIN",1.0
"ALL",12.0
"ALSO",1.0
"ALUMINUM",1.0
"ALWAYS",2.0
"AM",10.0
"AMAZEBALLS",2.0
"AMAZING",15.0
"AMC",1.0
"AMIRIGHT",1.0
"AND",17.0
"ANOTHER",1.0
"ANY",7.0
"ANYTHING",1.0
"AOK",9.0
"ARE",6.0
"AS",2.0
"ASAP",1.0
"ASK",1.0
"ASU",7.0
"ASUs",1.0
"AT",4.0
"ATM",1.0
"ATMOSPHERE",1.0
"AVOID",1.0
"AW",2.0
"AWESOME",5.0
"AWESOMEprobably",1.0
"AZ",34.0
"AZs",1.0
"Aah",1.0
"About",10.0
"Abridged",1.0
"Absolute",3.0
"Absolutely",5.0
"Abuelos",1.0
"Acacia",1.0
"According",5.0
"Ach",1.0
"Actually",6.0
"Adams",3.0
"Add",7.0
"Added",2.0
"Adding",3.0
"Addition",1.0
"Additional",2.0
