_id,value
"",2.0
"!",4979.0
"$",967.0
"*",69.0
"**",3.0
"***",2.0
"****",2.0
"***********",3.0
"************",1.0
"*************",1.0
"**********************************",1.0
"*********My",1.0
"*********PRICEY",1.0
"*********The",1.0
"********The",1.0
"***Bollywood",1.0
"***The",1.0
"***We",2.0
"**At",1.0
"**B",1.0
"**C",1.0
"**I",1.0
"**If",1.0
"**On",1.0
"**Pad",1.0
"**Update",1.0
"**check",2.0
"*A",3.0
"*As",1.0
"*Bagged",1.0
"*Con",1.0
"*Crab",1.0
"*DRINKS*",1.0
"*Dangerous*",1.0
"*Decent",2.0
"*Dr",1.0
"*Drinks*",1.0
"*Dry",1.0
"*Edamame",1.0
"*Estofado",1.0
"*Frijol",1.0
"*GASP*",1.0
"*Good",2.0
"*Hooka*",1.0
"*House",1.0
"*I",13.0
"*Japanese",1.0
"*Lo",1.0
"*Massive",1.0
"*Mu",1.0
"*No",2.0
"*Note",1.0
"*Octopus",1.0
"*Pollo",1.0
"*Puerco",1.0
"*Real*",1.0
"*Sake",1.0
"*Shiner",2.0
"*Sweet",2.0
"*TIP*",1.0
"*They",2.0
"*Theyre",1.0
"*UPDATE",1.0
"*Whole",1.0
"*You",10.0
"*Yuca",1.0
"*ahem*",5.0
"*all*",1.0
"*almost*",2.0
"*cough*",2.0
"*coughgalcoscough*",1.0
"*deep",1.0
"*drool*",1.0
"*edit*",1.0
"*five",2.0
"*floored*",2.0
"*gasp*",1.0
"*giggle*",1.0
"*gulp*",1.0
"*havent*",1.0
"*heart*",1.0
"*i",2.0
"*may*",1.0
"*might*",2.0
"*pizza",2.0
"*really*",2.0
"*right*",1.0
"*rolls",1.0
"*sigh*",1.0
"*squeal*",1.0
"*the*",1.0
"*this*",1.0
"*too*",1.0
"*traditional",1.0
"*tried*",1.0
"*two",2.0
"*years*",1.0
"@",16.0
"A",363.0
"AAA",2.0
"ABC",1.0
"ABOUT",1.0
"ABV",1.0
"AC",7.0
"ACTUALLY",1.0
"ADA",1.0
"ADD",2.0
"ADDITION",1.0
"ADORABLE",1.0
"AFTER",3.0
"AG",1.0
"AGREED",1.0
"AH",1.0
"AHH",1.0
"AHHHHH",1.0
"AHHHHMAZING",1.0
"AHo",1.0
"AINT",1.0
