_id,value
"",4.0
"!",11361.0
"$",2675.0
"*",135.0
"**",4.0
"***",7.0
"****",3.0
"*****",1.0
"******",1.0
"***********",3.0
"************",1.0
"*************",1.0
"**********************************",1.0
"******************************************************",4.0
"*********My",1.0
"*********PRICEY",1.0
"*********The",1.0
"********The",1.0
"****You",1.0
"***Bollywood",1.0
"***Reply",1.0
"***The",1.0
"***We",2.0
"***bertos",2.0
"**At",1.0
"**B",1.0
"**BOTTOMLESS",1.0
"**C",1.0
"**Chai",1.0
"**Even",1.0
"**I",1.0
"**If",1.0
"**MINI",1.0
"**On",1.0
"**Pad",1.0
"**Special",1.0
"**The",2.0
"**They",1.0
"**UPDATE**",1.0
"**Update",1.0
"**You",2.0
"**check",2.0
"**cookiesChocolatePeanutBacon",1.0
"*A",4.0
"*As",1.0
"*Bagged",1.0
"*Big",1.0
"*Blank",1.0
"*Bloody",1.0
"*Bruschetta",1.0
"*Con",1.0
"*Could",1.0
"*Crab",1.0
"*DRINKS*",1.0
"*Dangerous*",1.0
"*Decent",2.0
"*Decor",1.0
"*Dessert*",1.0
"*Doesnt",1.0
"*Dr",1.0
"*Drinks*",1.0
"*Dry",1.0
"*EDIT",1.0
"*ETA",1.0
"*Edamame",1.0
"*Estofado",1.0
"*Food",1.0
"*Frijol",1.0
"*GASP*",1.0
"*Garlic",1.0
"*Gelato",1.0
"*Gnocchi",1.0
"*Good",2.0
"*Hooka*",1.0
"*House",1.0
"*I",13.0
"*I*",1.0
"*Indian*",1.0
"*Japanese",1.0
"*LATE*",1.0
"*Lo",1.0
"*Main",1.0
"*Massive",1.0
"*Mu",1.0
"*No",2.0
"*Note",1.0
"*Octopus",1.0
"*Points",1.0
"*Pollo",1.0
"*Price",1.0
"*Proceeds",1.0
"*Puerco",1.0
"*Real*",1.0
"*Sake",1.0
"*Schreiners",1.0
"*Service",2.0
"*Shiner",2.0
"*Shrug*",1.0
"*Smart",1.0
"*Starters*",1.0
"*Steak",1.0
"*Sweet",2.0
"*TIP*",1.0
"*Thai",1.0
"*The",1.0
"*They",2.0
"*Theyre",1.0
"*Tom",1.0
"*Torn",1.0
"*Tuna",1.0
"*UPDATE",1.0
"*Update",1.0
"*Update*",2.0
"*Vegetable",1.0
"*Walks",1.0
"*Whole",1.0
"*You",10.0
"*Yuca",1.0
"*ahem*",6.0
"*all",1.0
"*all*",1.0
"*almost*",3.0
"*back",2.0
"*bread",1.0
"*cheese",1.0
"*clean*",1.0
"*cough*",4.0
"*cough*SeamusandRula*clearsthroat*",1.0
"*coughgalcoscough*",1.0
"*coughteriyakichickenwtfcough*",2.0
"*could*",2.0
"*crispy",1.0
"*deep",1.0
"*ding",1.0
"*dirty",1.0
"*drool*",1.0
"*during",1.0
"*edit*",2.0
"*eh*but",1.0
"*five",2.0
"*floored*",2.0
"*fyi",1.0
"*gasp*",2.0
"*giggle*",4.0
"*grain*",1.0
"*gulp*",1.0
"*gurgle*",1.0
"*havent*",1.0
"*heart*",3.0
"*heartx*",2.0
"*highly*",1.0
"*hold",1.0
"*hopefully*",1.0
"*hork*",1.0
"*i",2.0
"*interesting*",1.0
"*is*",2.0
"*looked*",1.0
"*may*",1.0
"*might*",3.0
"*never*",1.0
"*notch*",1.0
"*obviously*",1.0
"*off",1.0
"*ok*",1.0
"*pause*",1.0
"*pffffffffffffft*",2.0
"*pffffffft*",2.0
"*pizza",2.0
"*puzzled",1.0
"*really*",2.0
"*right*",1.0
"*rolls",1.0
"*sarcasm*",1.0
"*shivers*",1.0
"*shock",1.0
"*shocker*",1.0
"*shrugs*",1.0
"*shudder*",1.0
"*shudders*",1.0
"*sigh",1.0
"*sigh*",7.0
"*some*",1.0
"*squeal*",1.0
"*stepping",1.0
"*swore*",1.0
"*tear*",1.0
"*that*",4.0
"*the",1.0
"*the*",1.0
"*think*",1.0
"*this*",2.0
"*too*",1.0
"*traditional",1.0
"*tried*",1.0
"*trying*",1.0
"*two",2.0
"*updated",1.0
"*very",1.0
"*was*",1.0
"*yearo",1.0
"*years*",1.0
"*yum*",1.0
"@",46.0
"A",938.0
"AAA",2.0
"AAAAAANNNNNNNDDD",1.0
"AAAAMAZING",1.0
"AB",1.0
"ABC",1.0
"ABOUT",2.0
"ABSOLUTE",1.0
"ABSOLUTELY",1.0
"ABV",1.0
"AC",21.0
"ACKNOWLEDGEMENT",1.0
"ACTOR",1.0
"ACTUAL",2.0
"ACTUALLY",1.0
"AD",1.0
"ADA",1.0
"ADD",3.0
"ADDITION",1.0
"ADDITIONAL",1.0
"ADDwould",1.0
"ADORABLE",1.0
"ADVERTISING",2.0
"AE",2.0
"AFTER",6.0
"AG",1.0
"AGAIN",10.0
"AGO",1.0
"AGREED",1.0
"AH",1.0
"AHH",2.0
"AHHHHH",1.0
"AHHHHMAZING",1.0
"AHMAZING",1.0
"AHo",1.0
"AINT",1.0
"AIR",1.0
"AJI",1.0
"AJs",42.0
"AK",1.0
"AKA",2.0
"AL",2.0
"ALERT",1.0
"ALERTALERTE",1.0
"ALIMENTACIN",1.0
"ALL",50.0
"ALLOWED",1.0
"ALMOST",1.0
"ALOHA",1.0
"ALOT",1.0
"ALSO",2.0
"ALUMINUM",1.0
"ALWAYS",14.0
"ALthough",1.0
"AM",30.0
"AMAAAAAZING",1.0
"AMAZEBALLS",2.0
"AMAZED",1.0
"AMAZING",72.0
"AMBIANCE",1.0
"AMC",5.0
"AMCnine",1.0
"AMIRIGHT",1.0
"AMMMMAAAZZZINNNNG",1.0
"AMS",1.0
"AMWHAT",1.0
"AMber",4.0
"AN",4.0
"AND",107.0
"ANGRY",2.0
"ANOTHER",8.0
"ANY",22.0
"ANYONE",5.0
"ANYTHING",8.0
"ANYTIME",1.0
"ANYWHERE",1.0
"ANd",1.0
"AOK",23.0
"AOk",2.0
"APPS",1.0
"APS",1.0
"ARE",19.0
"AREA",3.0
"ARGH",1.0
"ARIZONA",1.0
"AROUND",1.0
"ARRRGH",1.0
"ARRRRRIZZZZONNNNA",2.0
"AS",5.0
"ASADA",1.0
"ASAP",7.0
"ASH",1.0
"ASK",4.0
"ASS",3.0
"ASU",48.0
"ASUs",1.0
"AT",16.0
"ATL",1.0
"ATM",10.0
"ATMOSPHERE",4.0
"ATS",2.0
"ATTACK",1.0
"ATTENTION",1.0
"AUB",1.0
"AUCE",2.0
"AUTHENTIC",2.0
"AUTOMATICALLY",1.0
"AVOCADO",4.0
"AVOID",1.0
"AW",4.0
"AWARDWINNING",1.0
"AWAY",3.0
"AWESOME",32.0
"AWESOMEits",1.0
"AWESOMEprobably",1.0
"AWFUL",5.0
"AWSOME",1.0
"AX",1.0
"AYCE",9.0
"AYKM",1.0
"AZ",178.0
"AZBarbeque",1.0
"AZs",1.0
"Aaaaah",1.0
"Aaaaanyways",1.0
"AaaalooooHa",1.0
"Aaaanyway",1.0
"Aah",1.0
"Aaron",15.0
"Aarons",2.0
"Abita",1.0
"About",39.0
"Above",4.0
"Abridged",1.0
"Absolut",1.0
"Absolute",4.0
"Absolutely",26.0
"Absolutley",1.0
"Abu",2.0
"Abuelos",2.0
"Acacia",6.0
"Academy",2.0
"Accents",2.0
"Accord",1.0
"According",11.0
"Accountability",2.0
"Ace",1.0
"Aceto",1.0
"Ach",1.0
"Achiote",1.0
"Acid",2.0
"Acoustics",1.0
"Across",1.0
"Action",1.0
"Actual",4.0
"Actually",32.0
"Adam",6.0
"Adams",10.0
"Add",26.0
"Added",7.0
"Addicting",1.0
"Adding",7.0
"Addition",1.0
"Additional",2.0
"Additionally",8.0
"Address",1.0
"Adenhart",1.0
"Adenharts",1.0
"Adequate",1.0
"Adios",4.0
"Adler",1.0
"Admittedly",7.0
"Adobe",7.0
"Adobo",4.0
"Adorable",3.0
"Adorablelove",1.0
"Adorning",1.0
"Adovada",2.0
"Adovado",1.0
"Adriana",1.0
"Adrienne",2.0
"Adult",1.0
"AdvertisingFail",1.0
"Advice",1.0
"Aegean",3.0
"Affliction",3.0
"Afflictionor",1.0
"Afflictionwearing",1.0
"Affogato",2.0
"Affordable",2.0
"Afghanistan",1.0
"Aforementioned",2.0
"Afraid",2.0
"Africa",4.0
"African",7.0
"AfricanAmerican",1.0
"After",513.0
"Afterall",1.0
"Afternoon",1.0
"Afterwards",2.0
"Again",98.0
"Again**",1.0
"Against",2.0
"Agave",4.0
"Agaves",3.0
"Age",2.0
"Aged",2.0
"Agh",1.0
"Aglio",3.0
"Agnolotti",1.0
"Agree",1.0
"Agritopia",2.0
"Agritourism",2.0
"Agua",8.0
"Aguas",1.0
"Ah",14.0
"AhSo",1.0
"Aha",1.0
"Ahem",2.0
"Ahh",6.0
"Ahhh",3.0
"Ahhhh",4.0
"Ahhhhh",1.0
"Ahhhhhh",1.0
"Ahhhhhhhhhhhhhyessssssssssss",1.0
"Ahi",25.0
"Ahmazing",1.0
"Ahwatukee",15.0
"Aid",1.0
"Aide",2.0
"Aids",1.0
"Aiellos",10.0
"Aielloss",1.0
"Aim",1.0
"Aimee",1.0
"Aioli",1.0
"Air",2.0
"AirFryers",1.0
"Aires",2.0
"Airpark",2.0
"Airplanes",1.0
"Airport",6.0
"Airways",3.0
"Aisles",2.0
"Ajax",2.0
"Aji",3.0
"Ajo",2.0
"Ajs",2.0
"Akaushi",1.0
"Akor",4.0
"Al",9.0
"AlHana",7.0
"AlHanaBaiz",1.0
"AlHanaand",1.0
"Alabama",2.0
"Aladdinpantwearing",1.0
"Alambre",1.0
"Alamos",1.0
"Alan",7.0
"Alas",11.0
"AlasIve",1.0
"Alaska",1.0
"Alaskan",8.0
"AlbaGore",1.0
"Albacore",9.0
"Albanian",1.0
"Albarino",2.0
"Albeit",1.0
"Alberts",3.0
"Albertsons",3.0
"Albondigas",3.0
"Albuquerque",1.0
"Alcatraz",2.0
"Alcohol",3.0
"Ale",30.0
"Ales",6.0
"Alessandros",1.0
"Alex",7.0
"Alexander",3.0
"Alexanders",5.0
"Alexis",3.0
"Alfred",9.0
"Alfredo",17.0
"Alfreds",1.0
"Algoo",1.0
"Ali",1.0
"Alica",2.0
"Alice",24.0
"Alien",1.0
"Alissa",2.0
"All",470.0
"AllAmerican",2.0
